job_id,category,template_index,split,job_description
J01_01,Data Science,0,train,"We are seeking a Data Science professional with practical experience in Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP."
J01_02,Data Science,1,train,"The role requires hands-on knowledge of Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP and the ability to deliver reliable business outcomes."
J01_03,Data Science,2,train,"Join our team as a Data Science. The preferred profile demonstrates Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP plus clear communication and problem solving."
J01_04,Data Science,3,train,"Successful candidates will apply Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP to production projects, collaborate with stakeholders, and document results."
J01_05,Data Science,4,train,"Looking for a Data Science specialist whose background includes Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP, delivery ownership, and continuous improvement."
J01_06,Data Science,5,train,"This position focuses on Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP. Candidates should explain prior projects, measurable impact, and implementation choices."
J01_07,Data Science,6,validation,"The ideal Data Science candidate combines Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP with teamwork, analytical thinking, and responsible execution."
J01_08,Data Science,7,test,"Hiring for a Data Science role requiring Python, SQL, machine learning, statistics, feature engineering, Power BI, model deployment, and NLP; relevant project experience and evidence of deployment or operational use are valued."
J02_01,HR,0,train,"We are seeking a HR professional with practical experience in talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement."
J02_02,HR,1,train,"The role requires hands-on knowledge of talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement and the ability to deliver reliable business outcomes."
J02_03,HR,2,train,"Join our team as a HR. The preferred profile demonstrates talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement plus clear communication and problem solving."
J02_04,HR,3,train,"Successful candidates will apply talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement to production projects, collaborate with stakeholders, and document results."
J02_05,HR,4,train,"Looking for a HR specialist whose background includes talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement, delivery ownership, and continuous improvement."
J02_06,HR,5,train,"This position focuses on talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement. Candidates should explain prior projects, measurable impact, and implementation choices."
