text,emotion
Thinking about today's good news leaves me delighted. It has stayed on my mind.,joy
"I have to admit, Thinking about the unexpected announcement leaves me in disbelief. That is my honest reaction.",surprise
"After thinking about it, I feel quite angry about the unnecessary delay. That is my honest reaction.",anger
"At this moment, I am startled because of the surprise visitor. It has stayed on my mind.",surprise
"At this moment, My mood is astonished after the last-minute change. It has stayed on my mind.",surprise
"At this moment, I keep feeling fearful whenever I remember speaking in public. That is my honest reaction.",fear
"To be honest, Thinking about the risky journey leaves me frightened. I can feel it strongly.",fear
I keep feeling resentful whenever I remember the unnecessary delay.,anger
"To be honest, Thinking about the uncertain situation leaves me uneasy. The feeling is difficult to ignore.",fear
"To be honest, Today I feel down; it is connected to the disappointing news. It has stayed on my mind.",sadness
Right now I am really scared. That is my honest reaction.,fear
"At this moment, Thinking about speaking in public leaves me anxious. That is my honest reaction.",fear
"I have to admit, My mood is uneasy after the risky journey. It has stayed on my mind.",fear
"To be honest, It is hard to hide how devoted I feel about our time together. That is my honest reaction.",love
"At this moment, I feel so warm about a thoughtful message.",love
"At this moment, I feel genuinely down about a lonely evening. That is my honest reaction.",sadness
"I have to admit, Honestly, the surprise visitor makes me feel in disbelief. The feeling is difficult to ignore.",surprise
I am panicked because of the risky journey. The feeling is difficult to ignore.,fear
"I have to admit, I feel deeply outraged about the unnecessary delay. I can feel it strongly.",anger
It is hard to hide how terrified I feel about speaking in public. The feeling is difficult to ignore.,fear
"After thinking about it, The way I feel can only be described as mad.",anger
"To be honest, Today I feel tearful; it is connected to the difficult goodbye. The feeling is difficult to ignore.",sadness
"At this moment, Honestly, the wonderful celebration makes me feel happy. It has stayed on my mind.",joy
I am terrified because of speaking in public. It has stayed on my mind.,fear
"After thinking about it, I am surprised because of the unbelievable result. The feeling is difficult to ignore.",surprise
"After thinking about it, Right now I am quite unhappy. It has stayed on my mind.",sadness
"After thinking about it, I keep feeling taken aback whenever I remember the surprise visitor. That is my honest reaction.",surprise
"I have to admit, Thinking about finishing the project leaves me wonderful. The feeling is difficult to ignore.",joy
I am loving because of my family. I can feel it strongly.,love
"I have to admit, I feel deeply worried about speaking in public. That is my honest reaction.",fear
"To be honest, Right now I am really gloomy. The feeling is difficult to ignore.",sadness
"Honestly, my family makes me feel warm. The feeling is difficult to ignore.",love
I keep feeling happy whenever I remember finishing the project.,joy
"At this moment, Thinking about the kindness I received leaves me warm. It has stayed on my mind.",love
"At this moment, Thinking about the wonderful celebration leaves me wonderful. The feeling is difficult to ignore.",joy
"I have to admit, Honestly, the shocking update makes me feel speechless. The feeling is difficult to ignore.",surprise
"To be honest, I am stunned because of the unbelievable result. It has stayed on my mind.",surprise
"After thinking about it, Today I feel close; it is connected to a thoughtful message.",love
"I have to admit, It is hard to hide how sad I feel about the disappointing news. That is my honest reaction.",sadness
"After thinking about it, I keep feeling taken aback whenever I remember the sudden gift.",surprise
"After thinking about it, The way I feel can only be described as lonely. The feeling is difficult to ignore.",sadness
"At this moment, It is hard to hide how surprised I feel about the sudden gift. It has stayed on my mind.",surprise
"I have to admit, I am gloomy because of missing my friends. It has stayed on my mind.",sadness
"At this moment, Right now I am truly cross. The feeling is difficult to ignore.",anger
"To be honest, I am irritated because of being ignored.",anger
"After thinking about it, It is hard to hide how happy I feel about finishing the project. It has stayed on my mind.",joy
"At this moment, I keep feeling lonely whenever I remember losing the opportunity. The feeling is difficult to ignore.",sadness
"I have to admit, Thinking about a lonely evening leaves me down. The feeling is difficult to ignore.",sadness
"After thinking about it, It is hard to hide how close I feel about the person I care about.",love
"After thinking about it, The way I feel can only be described as angry.",anger
It is hard to hide how loving I feel about the kindness I received. That is my honest reaction.,love
"To be honest, I feel deeply down about the failed plan. That is my honest reaction.",sadness
"I have to admit, Today I feel wonderful; it is connected to today's good news. That is my honest reaction.",joy
"I have to admit, Thinking about my closest friend leaves me adored.",love
The way I feel can only be described as tearful. That is my honest reaction.,sadness
"I have to admit, It is hard to hide how enraged I feel about being ignored. The feeling is difficult to ignore.",anger
Today I feel thrilled; it is connected to today's good news. It has stayed on my mind.,joy
"At this moment, Right now I am completely lonely.",sadness
"To be honest, Today I feel frightened; it is connected to the upcoming examination.",fear
"To be honest, Thinking about finishing the project leaves me happy. The feeling is difficult to ignore.",joy
"To be honest, Today I feel down; it is connected to a lonely evening. The feeling is difficult to ignore.",sadness
"After thinking about it, Today I feel nervous; it is connected to the sudden noise. The feeling is difficult to ignore.",fear
Today I feel warm; it is connected to the person I care about. It has stayed on my mind.,love
I feel incredibly thrilled about meeting my friends. The feeling is difficult to ignore.,joy
Right now I am very tearful. That is my honest reaction.,sadness
"To be honest, Right now I am extremely fearful.",fear
"At this moment, The way I feel can only be described as mad. The feeling is difficult to ignore.",anger
"At this moment, Right now I am truly terrified. It has stayed on my mind.",fear
"Honestly, the disappointing news makes me feel sorrowful. The feeling is difficult to ignore.",sadness
"After thinking about it, Right now I am really close.",love
"To be honest, The way I feel can only be described as taken aback. The feeling is difficult to ignore.",surprise
"At this moment, I am down because of the failed plan. It has stayed on my mind.",sadness
My mood is miserable after the disappointing news. The feeling is difficult to ignore.,sadness
"I have to admit, Thinking about the last-minute change leaves me speechless. I can feel it strongly.",surprise
"After thinking about it, Thinking about speaking in public leaves me frightened. The feeling is difficult to ignore.",fear
Thinking about the sudden noise leaves me panicked. The feeling is difficult to ignore.,fear
"I have to admit, My mood is affectionate after a thoughtful message. It has stayed on my mind.",love
"I have to admit, Thinking about the sudden noise leaves me afraid. It has stayed on my mind.",fear
