question1,question2,is_duplicate
How can I learn python quickly?,What is the fastest way to learn python?,1
What is the best way to study machine learning?,How should I start learning machine learning effectively?,1
How do I lose weight fast?,How can I lose body weight quickly?,1
What causes chest pain after exercise?,Why do I get chest pain after working out?,1
How to improve English speaking skills?,How can I speak English fluently?,1
What is deep learning?,Can you explain deep learning?,1
How can I reduce belly fat?,What is the best way to reduce stomach fat?,1
What are symptoms of heart attack?,What are the warning signs of a heart attack?,1
How do I become fluent in English?,Tips to become fluent in spoken English?,1
Explain neural networks in simple words.,What are neural networks in easy language?,1
How can I learn python quickly?,What is the capital of France?,0
What is deep learning?,How to cook pasta at home?,0
How to improve English speaking skills?,Best camera for wildlife photography?,0
What causes chest pain after exercise?,How to become a software engineer?,0
How do I lose weight fast?,What is blockchain technology?,0
